subj_id,F_q1,R_q2,F_q3,R_q4,F_q5,R_q6
s291,4,3,7,4,6,1
s245,4,3,6,3,5,3
s152,3,2,5,5,4,2
s062,4,4,2,5,4,3
s319,4,5,4,4,2,5
s053,4,2,2,3,7,3
s176,3,4,3,3,4,1
s151,3,4,2,5,4,3
s298,2,3,4,6,6,3
s224,3,4,3,6,4,5
s206,4,3,4,7,4,6
s184,4,3,6,5,5,2
s074,1,6,3,5,4,6
s260,4,3,5,5,6,3
s081,5,7,4,7,4,4
s078,4,2,3,4,2,4
s076,4,4,1,4,5,2
s269,3,5,5,3,5,NA
s072,4,5,5,5,6,2
s141,3,7,4,6,3,4
s147,4,5,1,4,3,4
s197,4,5,3,6,1,2
s121,5,3,5,6,4,3
s123,3,3,6,3,3,3
s127,2,6,1,7,5,3
s280,3,3,3,7,5,3
s025,4,3,5,6,4,3
s231,6,4,4,4,6,1
s282,5,2,4,5,3,3
s119,3,1,2,4,6,4
s139,5,4,5,4,5,5
s104,1,5,4,3,4,3
s213,4,4,5,3,5,4
s303,4,4,4,4,5,5
s219,4,1,4,5,5,3
s288,5,3,4,6,6,4
s201,5,4,5,5,4,3
s148,4,4,2,5,4,3
s314,1,4,3,4,1,6
s061,6,3,4,5,4,2
s009,3,2,3,6,6,4
s250,3,3,4,6,3,3
s271,1,5,5,6,5,4
s101,4,2,4,2,5,2
s207,5,2,5,3,4,3
s180,4,4,5,4,4,1
s105,3,3,4,6,4,5
s135,4,3,3,6,4,4
s170,5,3,5,3,5,2
s312,4,7,1,5,2,6
s138,6,4,3,4,6,3
s113,2,5,6,6,4,3
s052,3,5,2,5,1,6
s228,1,3,3,4,1,4
s154,3,5,5,3,4,3
s107,4,3,1,6,3,6
s048,5,3,2,5,4,4
s109,1,4,1,7,4,4
s035,5,3,5,4,6,2
s091,2,6,5,6,4,2
s001,4,2,5,4,4,2
s020,2,6,2,5,3,4
s037,4,2,3,6,3,2
s205,3,7,2,5,3,4
s058,5,5,3,7,4,3
s309,2,4,4,4,4,4
s103,1,3,5,6,2,5
s004,5,3,4,4,5,2
s181,1,5,4,7,1,7
s065,4,3,4,5,4,5
s177,6,3,4,3,5,5
s071,4,5,4,4,3,5
s166,2,2,6,4,4,1
s096,5,2,4,5,4,3
s016,7,1,7,2,6,1
s047,3,4,4,6,3,5
s067,7,3,6,4,4,1
s106,4,3,3,6,5,3
s092,3,3,4,6,1,3
s259,2,4,6,5,4,3
s274,5,5,4,4,3,2
s153,4,3,4,5,7,3
s172,3,3,5,3,3,3
s040,7,3,3,4,6,2
s265,5,2,7,3,4,1
s082,3,NA,5,7,5,3
s006,4,3,4,5,5,3
s185,3,3,2,4,4,5
s073,6,6,4,5,4,1
s238,2,3,4,5,3,4
s233,2,4,5,6,3,3
s189,6,1,6,5,6,4
s133,1,7,2,7,2,7
s240,5,3,4,4,6,4
s234,5,5,2,4,2,5
s142,5,3,5,4,2,4
s289,5,5,7,4,4,4
s236,3,4,3,7,3,5
s244,7,3,7,4,7,1
s156,3,3,3,6,1,2
s239,4,4,4,5,3,4
s055,4,5,4,4,6,2
s066,4,3,2,7,4,5
s174,1,4,1,6,2,3
s063,3,2,3,4,7,3
s311,3,3,1,4,3,4
s209,4,5,3,4,2,4
s307,3,4,6,3,5,2
s237,4,3,4,3,5,3
s310,5,5,1,6,4,3
s024,2,4,4,6,4,4
s110,5,1,4,4,4,4
s086,4,3,5,4,4,4
s281,3,3,4,6,5,4
s015,2,4,3,7,2,3
