subj_id,q1_F,q2_R,q3_F,q4_R,q5_F,q6_R
s374,5,4,3,3,6,6
s061,3,4,6,6,4,4
s115,4,5,3,3,5,5
s283,5,1,5,6,6,5
s118,6,4,4,1,4,3
s333,4,5,4,5,5,4
s091,7,3,5,3,6,3
s372,5,3,6,3,6,3
s082,4,5,3,4,4,7
s389,3,5,6,3,5,5
s140,1,4,4,6,4,4
s180,3,4,3,4,4,2
s034,4,4,4,2,5,4
s276,1,5,2,4,2,7
s231,2,6,3,2,5,3
s324,3,5,4,3,6,6
s267,3,5,3,3,5,6
s037,2,2,6,3,7,4
s145,4,6,3,4,4,3
s106,2,5,3,4,4,7
s240,5,3,4,5,4,5
s171,4,1,3,1,5,4
s100,4,2,3,2,6,3
s207,3,4,5,1,4,3
s126,3,5,3,3,6,4
s341,3,3,5,3,4,4
s249,3,5,2,4,3,4
s327,4,2,3,4,6,5
s313,2,3,4,3,7,3
s101,3,5,4,2,5,4
s078,1,6,1,5,7,4
s312,5,3,6,4,7,2
s114,6,5,4,3,5,4
s203,1,4,5,3,4,6
s370,3,5,3,2,6,4
s388,5,2,4,2,4,7
s102,5,3,4,4,3,2
s093,2,7,2,6,3,7
s174,4,2,3,3,5,5
s135,3,2,4,3,NA,4
s182,4,6,3,3,4,3
s250,4,6,4,3,4,4
s360,5,3,7,3,7,4
s050,2,4,5,6,4,6
s241,4,5,3,4,3,5
s382,3,4,4,5,6,3
s158,4,5,3,4,4,4
s346,5,5,5,4,2,6
s072,5,2,6,4,5,5
s179,4,4,4,2,7,4
s279,4,4,3,2,5,6
s136,3,5,4,6,3,6
s369,4,4,5,3,6,5
s175,3,4,6,4,6,2
s290,5,1,6,1,7,2
s335,2,5,3,5,5,6
s059,4,2,3,4,3,6
s031,2,7,1,6,2,6
s089,4,4,2,5,4,4
s198,3,4,4,4,7,5
s291,4,4,2,3,5,4
s054,5,4,4,2,5,5
s310,3,4,4,6,6,4
s280,1,3,3,6,5,6
s205,1,NA,3,4,4,5
s354,1,7,4,5,5,6
s003,2,5,2,6,4,3
s155,4,6,6,5,4,4
s357,5,4,6,5,7,3
s212,6,3,3,2,5,3
s144,4,5,1,4,4,4
s371,3,3,3,7,5,4
s385,4,6,3,5,3,4
s309,2,5,3,4,4,5
s328,4,5,4,3,7,5
s006,3,3,4,2,4,5
s235,4,4,5,1,5,5
s303,3,5,4,3,6,3
s178,4,5,2,4,5,4
s325,1,6,4,3,4,6
s201,1,6,1,5,3,7
s232,4,4,2,5,3,5
s053,3,5,4,5,2,4
s069,3,5,4,6,5,5
s032,4,4,5,5,5,6
s005,3,3,3,3,4,4
s149,2,6,4,3,3,7
s233,3,7,5,5,5,7
s079,3,4,2,5,5,1
s254,1,2,2,4,3,4
s223,3,4,4,5,5,6
s002,5,3,4,3,6,4
s191,3,4,4,5,7,3
