subj_id,Fq1,Rq2,Fq3,Rq4,Fq5,Rq6,Fq7,Rq8,Fq9
s052,6,3,5,3,5,3,6,5,3
s243,3,5,5,6,4,4,4,2,4
s022,4,4,4,3,7,3,6,4,5
s064,5,4,4,4,4,2,6,4,4
s268,3,6,3,5,2,4,2,5,4
s122,4,4,3,4,3,5,5,5,3
s174,4,6,2,3,4,5,6,4,6
s186,4,4,3,4,5,1,4,3,4
s033,7,3,2,5,4,2,4,3,3
s197,4,4,2,5,5,5,3,3,3
s067,5,6,5,4,5,1,5,3,4
s257,3,5,3,4,5,6,5,4,4
s198,7,5,5,4,5,2,5,4,3
s057,5,4,3,4,3,3,3,3,3
s238,6,1,3,6,5,6,4,2,3
s270,4,5,3,5,5,4,3,5,3
s193,1,4,2,5,2,5,2,5,4
s105,2,6,1,4,4,4,4,5,3
s048,4,4,4,4,6,4,5,4,7
s027,7,3,4,4,7,3,7,1,4
s115,6,3,3,1,4,3,5,4,6
s076,3,5,4,5,4,3,7,5,7
s103,5,5,5,6,5,3,5,6,6
s087,3,5,5,5,2,5,4,6,3
s072,4,3,5,4,4,2,5,1,3
s190,3,6,4,4,3,4,4,6,3
s172,3,3,4,4,6,2,7,5,3
s294,6,3,7,3,5,3,6,4,5
s215,3,7,2,4,3,1,5,4,4
s135,1,1,3,7,3,3,5,5,3
s132,2,4,4,3,4,5,4,5,4
s012,5,1,5,2,6,1,6,2,7
s083,2,5,3,7,2,4,2,5,3
s102,4,3,7,5,4,3,7,3,5
s282,NA,2,7,3,5,1,6,2,5
s209,4,3,4,2,2,1,4,3,3
s246,3,4,3,3,5,4,5,3,3
s113,5,1,4,2,5,3,6,5,4
s079,3,4,3,5,4,4,4,3,4
s221,4,5,3,3,5,3,3,4,2
s206,1,7,1,7,1,6,1,6,2
s254,4,5,4,5,4,3,4,5,2
s311,2,4,4,6,5,5,7,4,2
s097,7,1,5,4,4,1,6,1,7
s047,1,5,3,5,2,5,4,6,2
s099,4,5,4,5,4,2,5,4,3
s058,2,6,4,5,3,5,4,3,2
s041,5,3,5,5,4,2,4,4,5
s156,5,5,2,5,3,4,3,3,1
s269,6,1,6,1,4,1,6,1,6
s250,3,4,4,3,2,4,3,3,NA
s160,2,4,4,4,4,4,4,7,2
s037,1,3,3,5,2,4,7,6,2
s090,3,4,2,6,6,4,3,3,4
s265,2,4,6,4,2,6,5,4,3
s308,4,4,2,2,7,2,4,3,3
s150,3,4,7,3,7,2,7,2,5
s177,4,4,1,4,6,4,4,4,2
s145,6,2,5,3,4,1,5,1,6
s187,4,4,3,4,4,4,3,4,3
s046,2,3,4,5,2,4,4,6,2
s049,1,6,1,6,4,5,3,6,1
s024,5,4,5,3,7,3,4,4,4
s101,3,4,4,5,6,6,7,6,4
s071,2,6,3,4,3,2,4,4,4
s248,7,1,7,2,6,1,7,1,6
s044,3,4,4,3,7,1,7,4,2
