subj_id,q1_F,q2_R,q3_F,q4_R,q5_F,q6_R,q7_F,q8_R,q9_F
s393,2,5,3,4,4,5,4,4,4
s162,2,5,3,5,2,6,2,7,4
s322,5,5,6,5,4,3,5,5,4
s123,5,4,4,6,3,4,3,2,3
s085,3,6,3,5,2,5,3,7,3
s309,4,4,4,3,1,4,5,2,4
s335,4,4,7,5,4,3,4,2,4
s027,5,3,6,5,4,3,3,2,4
s257,6,4,5,4,2,6,4,5,6
s354,3,6,3,6,3,5,4,6,4
s218,3,4,7,2,5,2,4,3,2
s214,2,5,4,4,3,3,2,5,1
s189,3,4,6,5,2,5,4,4,2
s229,6,1,6,1,6,4,7,1,4
s325,7,7,6,4,3,2,5,2,2
s250,4,3,6,2,7,1,5,2,5
s276,3,4,4,6,6,4,5,2,4
s077,1,7,3,4,3,6,3,6,4
s371,3,5,4,6,2,4,3,5,2
s097,4,5,4,5,4,5,3,4,5
s025,3,6,4,4,3,4,3,4,NA
s317,3,7,5,3,4,4,1,6,3
s350,4,4,4,4,5,2,6,2,7
s326,3,4,3,6,4,5,3,7,1
s339,4,6,4,6,4,4,4,5,3
s061,4,4,4,3,5,4,4,4,2
s307,4,3,5,5,4,6,3,6,4
s184,5,5,4,6,2,3,3,7,1
s293,5,3,7,2,7,1,5,2,5
s066,4,3,4,3,6,4,4,4,3
s075,4,6,5,5,3,4,3,6,1
s254,4,6,7,3,3,3,3,3,3
s299,5,2,5,3,4,5,3,7,3
s089,4,4,5,5,4,3,2,5,5
s017,7,4,4,3,5,4,6,3,5
s391,4,3,6,4,3,2,4,4,3
s039,5,4,6,2,6,3,3,5,5
s175,5,4,4,2,NA,3,5,3,4
s228,5,2,5,4,7,4,3,2,5
s212,3,5,5,3,5,3,2,4,3
s074,5,5,5,4,5,6,4,6,2
s134,3,7,5,5,4,6,4,2,3
s200,5,3,6,4,5,3,6,2,5
s279,3,2,6,4,2,4,3,2,4
s072,5,4,4,2,3,6,5,4,4
s243,5,5,4,4,4,3,5,4,5
s359,3,5,3,5,4,3,3,4,2
s226,5,2,6,5,5,3,4,3,4
s381,4,7,5,4,3,5,4,6,2
s181,2,5,6,6,2,5,6,5,2
s260,2,7,3,7,1,5,1,7,3
s156,5,4,3,5,4,4,3,3,5
s094,2,6,4,3,2,6,3,4,4
s358,4,4,3,4,1,4,1,4,3
s379,1,7,2,4,1,6,5,4,1
s001,4,7,3,5,4,4,3,4,3
s300,4,3,5,6,3,4,5,4,4
s330,4,5,4,3,4,3,7,4,4
s392,4,4,4,3,5,4,3,4,3
s168,3,4,5,6,2,4,2,5,2
s380,4,6,4,4,4,3,5,6,4
s045,3,7,4,4,5,3,1,4,4
s390,4,6,4,4,3,3,4,3,6
s059,5,2,5,3,5,3,6,4,4
s169,4,7,5,5,5,5,4,5,5
s167,5,5,3,3,4,4,2,5,3
s278,3,6,6,6,4,6,5,5,3
s347,5,NA,6,1,5,1,3,6,5
s044,4,4,7,3,5,3,3,3,3
s143,3,5,4,2,3,4,4,5,5
s127,5,3,4,3,4,3,7,4,5
s236,3,5,4,3,3,4,3,4,5
s109,4,4,5,4,5,2,4,4,5
s018,4,5,5,3,4,2,5,4,3
s033,4,4,4,3,4,1,6,4,3
s220,5,4,7,3,4,2,3,5,3
s357,5,2,6,2,5,1,5,3,6
s118,3,5,3,2,6,2,3,5,6
s310,6,3,4,5,4,3,5,4,3
s161,6,2,7,3,5,3,5,4,7
s180,4,5,3,6,4,7,4,4,1
s100,5,5,5,6,4,1,5,3,4
s213,5,5,4,6,6,2,2,4,3
s368,4,3,5,4,6,5,4,2,4
s165,5,1,5,4,3,5,3,6,4
s005,5,5,4,4,2,2,4,5,4
s378,4,5,6,7,5,3,3,4,5
s395,5,2,2,4,4,3,4,2,3
s152,2,5,4,4,2,5,2,7,2
s376,5,2,5,4,4,3,4,3,NA
s091,4,4,4,4,4,5,3,3,3
s262,5,3,3,3,2,2,3,1,7
s186,6,5,5,3,6,2,5,3,6
s054,4,4,6,5,2,1,5,NA,3
s374,6,3,5,4,6,3,4,4,5
s198,4,3,3,4,4,2,4,3,3
s289,4,4,7,4,4,4,7,4,1
s171,3,5,5,2,3,4,5,4,1
s160,5,3,7,1,4,3,4,5,7
s041,7,4,6,3,4,3,5,2,5
s112,5,2,5,3,6,1,6,3,4
s081,3,6,4,6,4,3,4,4,2
s130,1,6,3,4,3,4,3,5,4
