subj_id,q01_F,q02_R,q03_F,q04_R,q05_F,q06_R,q07_F,q08_R,q09_F,q10_R,q11_F,q12_R,q13_F,q14_R
s135,4,5,6,5,3,4,5,1,4,2,5,3,4,4
s151,6,4,7,2,4,1,7,1,4,1,7,1,5,1
s227,1,7,4,6,4,7,3,3,5,6,1,6,3,5
s033,2,7,4,7,2,4,2,3,2,5,4,6,3,4
s168,6,5,5,4,4,1,5,3,6,4,5,5,4,3
s234,6,5,7,4,5,4,4,3,4,2,4,4,4,4
s126,1,5,2,3,6,2,4,4,4,5,2,3,3,4
s282,5,4,7,5,4,2,4,1,4,2,4,4,3,3
s355,2,5,4,6,1,7,2,4,1,6,1,6,3,5
s254,3,4,4,5,6,2,5,3,2,4,4,6,4,6
s012,5,6,5,5,4,1,4,4,3,4,4,4,4,4
s035,3,4,1,7,2,2,5,3,3,4,4,4,3,5
s341,7,6,5,6,4,3,2,4,4,5,3,5,1,5
s130,6,4,3,5,4,2,1,2,3,6,4,4,3,4
s253,5,6,4,7,2,3,4,4,5,5,4,4,2,6
s348,4,4,4,5,6,4,6,3,3,4,4,4,2,3
s239,4,5,2,6,3,3,6,4,3,6,6,5,3,4
s345,5,4,1,4,3,7,3,5,1,4,2,3,5,7
s041,4,3,3,7,3,4,5,5,3,4,5,2,4,4
s315,4,6,2,7,5,4,4,3,2,5,2,6,3,5
s247,5,1,5,3,3,3,6,3,4,4,4,4,6,3
s143,6,6,5,6,4,5,6,5,6,3,5,4,5,5
s050,3,3,4,3,3,4,3,1,2,3,5,4,2,5
s325,5,5,4,6,3,6,4,6,4,3,2,3,3,5
s122,6,3,6,3,5,3,7,1,5,1,7,5,6,2
s316,3,6,3,5,3,6,2,4,4,4,3,5,2,5
s163,2,7,5,6,3,4,2,4,3,3,4,5,2,5
s067,3,6,5,6,6,2,5,2,2,3,3,4,5,4
s273,3,6,5,7,4,4,4,4,1,4,4,4,4,4
s204,5,5,4,1,5,2,5,4,4,3,4,2,6,5
s332,4,4,4,7,4,4,2,3,4,4,4,6,4,4
s200,6,4,4,4,4,4,7,1,3,6,5,4,4,4
s066,4,3,5,5,5,5,3,4,4,3,3,3,5,1
s013,3,5,4,6,4,1,5,3,3,4,5,3,2,4
s036,6,2,5,3,5,2,5,2,5,2,7,2,5,4
s214,4,6,2,3,2,4,4,5,1,5,3,5,5,5
s015,6,6,1,6,4,2,4,4,3,3,3,4,2,5
s069,4,4,5,5,4,5,3,6,4,4,2,7,3,5
s105,5,4,5,3,7,4,6,2,3,5,4,4,6,2
s042,6,4,5,4,4,1,5,1,5,4,6,3,6,3
s242,2,4,5,4,2,5,2,5,2,6,4,5,2,5
s029,5,3,4,4,4,2,3,5,3,3,4,6,2,5
s216,3,4,2,6,5,5,3,3,2,3,3,6,4,6
s171,3,6,4,3,4,6,5,4,4,7,3,7,4,3
s054,5,3,6,6,5,2,5,3,4,3,5,3,4,6
s271,6,4,5,4,5,5,5,4,4,4,2,5,3,5
s293,4,2,3,5,4,5,5,5,5,2,4,3,5,5
s179,3,4,6,6,4,3,6,2,4,6,4,4,4,4
s243,2,7,2,7,3,5,3,5,4,7,3,6,1,6
s189,3,4,4,4,2,5,3,5,3,7,5,5,5,4
s188,4,5,3,6,3,7,4,5,1,5,5,6,4,5
s092,4,7,5,4,4,3,5,1,5,2,6,4,4,4
s295,3,3,5,5,4,4,7,3,4,2,7,3,4,4
s255,4,3,5,4,4,4,4,4,4,4,7,2,5,3
s322,2,4,1,7,1,6,2,7,4,5,4,4,2,5
s184,5,3,5,4,4,5,6,2,3,4,5,2,6,2
s006,3,6,6,5,4,NA,1,4,3,5,5,3,4,3
s136,4,NA,3,4,2,5,5,3,4,5,4,7,2,5
s198,4,4,5,3,4,1,5,1,5,6,5,4,3,2
s117,4,5,3,7,3,5,1,4,3,5,4,7,2,7
s307,4,2,5,6,4,2,4,4,4,2,3,4,5,4
s229,2,7,2,7,1,7,4,5,3,4,3,6,1,7
s309,4,5,4,3,5,4,5,5,5,4,4,1,4,5
s317,3,3,3,4,2,4,5,5,3,6,5,5,7,5
s186,4,4,7,3,6,1,7,1,5,2,5,1,4,1
s124,2,6,4,5,1,5,3,3,1,3,2,7,2,6
