subj_id,q01-F,q02-R,q03-F,q04-R,q05-F,q06-R,q07-F,q08-R,q09-F,q10-R,q11-F
s050,6,1,3,5,6,3,6,1,3,2,7
s244,4,3,4,6,2,5,4,4,1,6,5
s199,1,4,1,7,2,4,4,5,3,4,2
s156,3,6,2,4,3,3,5,4,3,5,2
s006,6,3,6,3,7,2,7,4,3,2,5
s223,5,5,5,4,5,4,5,4,4,3,5
s020,4,5,3,4,6,4,4,4,5,3,7
s145,4,5,7,3,4,2,4,4,5,5,5
s294,2,4,3,5,3,2,5,4,4,5,6
s010,3,5,6,4,2,4,5,3,4,4,NA
s303,6,4,2,5,3,4,5,4,6,2,5
s063,1,3,3,3,4,5,3,7,3,5,4
s144,3,6,1,5,2,6,2,5,3,4,3
s003,4,7,5,3,4,6,7,2,4,4,6
s193,3,3,1,5,4,5,4,5,4,4,3
s295,7,1,5,4,4,3,5,3,4,2,4
s288,4,3,3,4,6,3,6,3,3,3,6
s065,3,3,4,4,3,1,4,3,3,1,6
s176,4,2,4,7,1,5,4,4,3,5,5
s132,4,6,6,2,3,3,5,4,3,3,5
s305,6,NA,5,1,4,1,3,2,5,2,5
s117,6,4,6,5,6,5,5,6,4,5,4
s001,5,7,3,5,3,4,3,4,3,5,4
s052,2,4,3,5,1,6,4,4,4,4,3
s216,4,6,4,7,4,4,3,3,4,5,2
s123,4,4,4,6,4,4,7,3,4,4,5
s016,4,2,4,3,7,3,7,3,4,4,4
s189,4,4,5,4,4,4,7,3,4,3,4
s008,5,2,5,2,3,4,5,4,4,3,4
s109,5,7,2,6,2,4,4,6,2,4,2
s175,2,5,5,3,5,2,6,3,4,4,3
s072,4,7,4,5,3,5,2,4,4,6,3
s231,5,6,4,3,4,4,3,4,4,5,4
s149,3,4,6,5,5,3,3,2,3,5,6
s019,4,4,2,6,4,6,3,5,3,5,3
s306,5,2,4,2,4,2,4,1,5,3,6
s220,4,5,6,4,6,4,4,3,4,5,2
s093,3,6,4,4,2,7,4,1,2,4,3
s058,5,5,4,4,4,4,5,5,3,4,4
s004,4,6,2,7,3,4,4,5,1,6,3
s115,4,4,4,4,1,7,2,4,3,7,2
s301,4,3,3,3,4,3,6,5,2,4,5
s147,2,5,2,5,4,6,2,3,2,5,3
s013,6,3,5,3,5,3,4,1,7,3,7
s210,4,2,6,4,6,4,7,2,5,3,4
s208,5,2,6,2,7,2,6,1,5,4,7
s015,4,4,5,4,3,2,5,3,2,4,7
s165,6,4,4,4,5,1,5,3,5,4,5
s012,4,6,4,4,3,6,3,4,2,5,6
s192,4,5,5,6,1,5,6,4,6,3,3
s107,5,4,5,5,4,3,3,2,5,4,4
s233,5,2,5,3,5,3,5,1,4,4,5
s212,2,7,3,7,4,7,4,2,3,6,1
s172,4,3,3,7,4,6,3,5,3,5,3
s139,4,2,4,4,2,3,5,5,4,1,3
s061,3,4,4,3,4,5,5,2,4,2,5
s290,3,6,4,3,4,3,4,5,2,6,5
s182,5,2,6,4,4,1,5,2,3,3,6
s307,7,4,6,4,5,3,3,3,5,6,5
s253,2,7,3,6,1,6,2,6,5,7,1
s026,5,3,5,4,7,3,2,4,4,3,6
s049,4,3,6,4,5,5,5,3,3,2,5
s275,6,2,5,4,3,4,6,3,7,6,6
s180,3,6,3,5,3,4,3,3,1,7,3
s186,6,1,7,3,4,2,5,5,5,4,4
s174,4,4,4,5,4,4,1,4,5,3,4
s214,1,5,3,4,6,3,5,4,4,6,3
s229,5,4,5,6,4,4,5,4,6,6,4
s092,3,4,4,3,6,6,5,4,5,6,4
s037,5,3,5,3,6,5,2,4,2,4,3
s069,7,2,7,3,7,1,6,1,4,2,6
s178,4,5,3,5,3,2,4,5,2,4,4
s249,7,3,2,5,2,4,5,3,3,5,5
s007,4,4,4,4,3,5,5,3,4,5,6
s080,3,2,6,4,5,3,4,4,4,3,3
s023,2,5,1,5,1,5,1,4,2,7,1
s282,4,4,4,4,3,5,4,5,2,4,4
s032,2,6,3,6,4,4,3,6,1,1,3
s200,3,6,3,4,5,3,3,3,2,4,4
s005,3,3,4,4,4,4,3,4,3,3,4
s083,3,5,5,4,5,4,3,4,4,5,NA
s248,7,2,7,2,3,5,5,3,5,4,6
s239,4,7,3,3,3,5,1,4,3,6,4
s056,4,2,7,3,2,1,6,4,6,4,4
s168,2,4,2,4,4,6,3,5,3,4,2
s237,7,6,6,2,3,3,4,2,5,4,7
s209,3,4,3,4,5,4,4,3,5,5,2
s068,4,6,3,7,3,4,4,4,4,4,3
s127,6,5,5,3,6,4,NA,4,6,3,4
s234,3,4,3,4,1,3,5,4,1,4,6
s153,5,5,4,3,3,5,4,3,3,5,5
s148,3,5,5,4,3,6,3,4,3,7,7
