subj_id,Fq01,Rq02,Fq03,Rq04,Fq05,Rq06,Fq07,Rq08,Fq09,Rq10
s186,4,5,2,5,4,6,2,5,3,4
s257,6,1,3,5,3,4,4,1,4,3
s141,6,4,5,4,4,4,3,6,1,4
s243,4,3,4,6,4,3,4,4,2,4
s247,4,4,2,5,5,5,3,5,5,5
s168,3,3,2,7,1,5,4,6,3,7
s187,4,5,4,4,5,5,3,4,4,4
s221,3,2,6,4,4,1,3,3,4,4
s020,7,2,6,3,5,4,5,3,5,3
s007,4,5,4,6,5,4,3,6,4,2
s344,7,3,4,2,4,3,3,3,6,4
s090,4,3,4,3,4,2,4,1,4,1
s206,6,3,5,4,6,4,4,5,4,4
s160,7,4,6,4,7,2,4,3,5,3
s324,4,3,5,6,6,5,4,4,4,6
s011,4,5,4,4,4,NA,2,7,5,4
s334,3,4,4,6,5,3,4,5,4,3
s317,3,5,3,4,3,4,4,5,3,6
s181,7,1,4,3,6,4,6,3,5,3
s299,2,6,3,7,3,3,2,7,1,5
s097,1,4,5,5,3,3,5,7,5,4
s153,6,1,6,4,6,6,5,3,7,1
s091,3,4,4,6,6,7,3,5,2,4
s109,5,4,5,3,4,5,3,4,4,3
s010,2,3,3,4,3,6,1,7,2,4
s297,2,7,1,5,1,4,1,7,NA,3
s175,3,7,4,7,1,7,1,7,3,7
s342,4,4,5,3,7,1,6,4,6,2
s066,4,6,4,4,4,3,4,3,4,5
s075,5,4,3,7,4,5,4,4,4,5
s059,5,4,3,6,1,5,4,6,3,4
s121,1,4,4,6,4,3,4,1,4,5
s203,4,3,2,5,4,1,4,4,4,3
s114,4,3,2,3,4,6,4,3,4,4
s049,4,1,6,4,5,4,5,2,6,1
s162,6,4,5,4,4,4,4,3,5,3
s347,6,3,6,4,7,5,5,4,4,3
s163,4,4,6,5,5,4,2,5,5,4
s082,4,5,2,5,4,4,4,4,4,4
s122,5,5,2,2,3,3,4,5,4,3
s245,4,4,4,4,2,5,1,5,3,5
s137,3,6,4,6,NA,7,3,6,3,5
s226,3,3,2,2,3,4,3,3,4,7
s054,7,3,6,2,6,2,5,3,6,3
s003,6,5,2,4,4,6,3,5,4,4
s215,4,4,4,5,6,4,5,6,3,3
s129,4,4,3,4,3,4,3,7,4,4
s064,4,3,3,3,3,6,4,6,5,3
s349,2,4,4,5,5,3,2,4,4,3
s306,4,2,4,2,5,1,5,5,4,3
s267,6,2,5,4,5,4,2,6,4,1
s330,4,3,3,6,5,3,4,3,4,3
s224,4,5,6,4,5,4,5,4,6,4
s354,7,3,5,4,4,3,3,4,6,1
s303,4,3,6,4,4,3,2,3,2,4
s029,4,5,4,7,2,7,3,7,2,4
s169,5,3,4,3,4,6,2,6,4,3
s302,4,5,4,2,5,4,4,3,5,6
s285,5,3,3,7,7,5,3,7,1,3
s293,5,3,4,5,5,4,5,4,4,2
s144,4,4,3,3,5,5,4,5,4,4
s294,4,3,6,4,4,4,4,4,5,4
s085,6,6,5,3,7,4,2,3,5,4
s210,7,5,5,5,4,3,2,5,4,2
s171,4,4,5,4,5,6,2,4,6,5
s280,7,4,4,5,4,3,3,3,6,3
s198,3,3,4,6,5,4,5,4,4,4
s256,5,6,1,4,3,3,5,3,4,4
s172,6,3,4,4,4,2,3,3,NA,4
s021,3,2,4,3,1,4,5,5,3,5
s065,4,5,4,4,3,5,2,5,6,1
s329,5,4,5,6,5,5,1,3,4,3
s308,5,4,2,6,5,3,4,5,5,3
s190,3,4,2,4,5,4,3,3,2,5
s030,6,2,6,5,3,3,4,3,5,1
s135,3,2,4,3,5,4,1,2,6,4
s220,1,5,3,7,3,6,3,5,2,4
s331,2,4,2,5,1,4,3,5,NA,6
s204,5,3,6,2,6,4,6,4,5,3
s106,3,5,1,4,2,3,3,6,4,4
s173,5,3,4,6,4,4,3,5,6,4
s002,4,5,4,4,5,4,4,3,4,3
s341,4,4,4,4,6,4,3,5,4,4
s125,4,4,4,4,3,2,3,4,4,4
s235,4,6,4,7,2,6,1,7,2,7
s123,7,2,6,5,7,1,7,2,4,4
s042,5,3,1,5,5,5,4,3,4,4
s214,2,3,3,7,4,7,1,4,2,5
s277,5,4,5,3,6,2,4,1,5,2
s272,5,6,4,4,4,4,1,7,5,4
s328,6,1,7,4,7,4,5,4,4,2
s128,4,3,4,3,4,4,5,4,5,3
s174,6,4,7,4,6,1,5,4,7,3
s189,4,6,2,6,3,5,2,3,2,4
s261,4,5,4,7,5,6,1,5,3,7
s089,4,3,3,3,6,6,2,4,4,3
s148,5,4,3,4,3,1,4,3,4,4
s044,7,5,5,4,7,4,5,3,3,2
s244,4,4,5,5,4,5,5,5,4,2
s309,2,4,5,4,4,4,4,4,4,1
s145,5,3,3,2,4,7,2,4,2,6
s310,2,3,4,4,3,5,3,5,5,4
s136,5,2,4,2,4,4,4,3,6,3
s279,3,4,6,4,5,5,5,7,4,1
s133,1,4,3,5,5,4,3,5,4,5
s263,4,5,3,6,3,6,1,5,2,5
s138,5,4,4,5,4,2,2,4,5,1
s239,6,3,4,5,4,3,6,5,5,5
s307,5,3,1,4,2,3,3,6,3,3
s336,4,3,4,4,2,6,4,4,3,5
s015,5,2,5,5,2,4,3,2,6,1
s212,5,1,4,6,7,4,4,5,5,1
s096,3,6,7,3,6,4,5,5,4,3
s104,3,4,3,7,3,4,2,5,3,4
s093,3,1,2,7,4,4,4,5,5,5
s301,4,4,2,3,3,4,4,5,3,4
s251,5,1,5,2,3,3,4,5,NA,2
s227,4,4,4,5,3,4,5,4,5,5
s353,2,3,3,6,4,5,4,7,1,4
s209,5,7,4,7,3,5,3,5,3,4
s248,6,4,2,5,4,6,3,5,4,5
s222,1,7,2,6,1,5,2,6,3,6
s319,4,3,4,5,5,4,3,6,4,4
s240,2,4,3,7,2,5,3,7,3,6
s332,2,4,2,7,4,7,3,5,4,4
s284,6,5,2,3,5,3,2,5,4,3
s236,3,4,5,7,4,6,2,3,2,5
s292,5,1,5,4,4,1,5,3,4,1
s053,4,4,3,6,2,3,3,6,2,5
s335,2,1,2,4,2,7,3,5,1,6
s316,6,5,6,4,6,1,6,2,5,3
s060,6,1,7,1,5,2,6,2,7,1
s074,4,4,4,6,3,3,2,4,3,5
s237,4,5,4,5,3,4,3,4,3,5
s120,3,4,6,3,7,6,5,5,5,4
s298,4,4,5,3,4,1,6,2,4,4
s199,3,4,4,2,4,4,3,4,5,4
s131,5,2,7,6,5,2,4,4,6,3
s166,5,4,4,1,5,3,5,2,5,2
s119,1,2,5,6,5,3,5,6,4,NA
s038,2,3,2,4,3,4,5,4,NA,7
s179,6,6,5,3,6,7,3,3,6,4
s086,6,4,5,5,5,3,4,3,4,4
s228,1,5,3,5,3,5,1,6,2,5
s026,7,3,7,3,7,3,6,2,5,4
s034,4,1,5,4,7,3,4,NA,5,5
s108,5,2,7,4,7,3,6,1,4,2
s193,6,3,4,5,4,3,4,4,6,3
s057,4,4,2,4,3,4,1,4,3,4
s107,6,2,5,4,4,2,5,4,4,1
s249,5,4,6,5,6,2,5,3,6,4
s314,5,4,4,5,2,4,3,4,4,3
s079,3,3,4,5,4,3,7,4,1,4
s320,5,1,6,2,7,2,6,2,6,1
s006,5,3,2,1,4,2,3,2,6,2
s100,2,3,4,5,3,5,2,6,3,4
s327,4,4,4,5,5,5,5,4,4,6
s046,5,3,5,4,6,6,4,4,2,3
s001,5,3,6,3,7,2,2,3,5,4
s322,3,3,4,5,5,2,3,4,3,5
s132,2,4,2,6,3,4,2,6,2,5
s178,5,5,5,6,3,3,3,4,3,3
s147,7,3,5,4,6,4,5,3,5,2
s018,5,4,4,3,4,3,4,4,4,3
s197,6,3,5,3,6,3,3,5,2,2
s200,4,2,6,4,4,3,3,6,3,2
s182,5,4,4,4,4,3,4,5,4,2
s103,6,3,3,3,3,4,5,5,3,1
s356,7,1,5,2,7,2,4,3,4,1
s205,4,5,3,5,5,5,3,3,3,5
s167,4,3,3,4,7,3,4,5,7,4
s069,3,4,5,4,7,4,3,4,2,1
s355,5,3,5,4,5,3,3,4,3,1
s112,2,4,4,5,5,7,3,6,1,6
s289,4,7,5,6,4,4,3,3,2,4
s017,4,4,5,4,4,7,3,5,3,3
s288,4,4,5,5,4,4,4,4,3,2
s154,2,5,4,5,3,6,4,7,6,6
s080,4,5,3,5,4,4,2,5,2,7
s070,3,3,6,5,5,4,3,3,5,4
s286,5,3,4,7,5,3,1,3,3,5
s296,2,3,4,4,5,2,4,3,5,3
s143,3,2,5,4,4,3,4,3,7,3
s146,4,4,3,7,5,6,4,6,2,4
s352,5,3,3,4,4,3,4,3,5,4
s339,2,7,3,7,2,6,1,7,1,4
s126,6,4,5,5,4,3,3,4,2,6
s134,4,4,2,7,3,3,3,4,4,4
s258,4,4,2,6,4,4,3,5,4,5
s333,5,5,1,6,4,5,3,4,3,7
s061,7,3,5,1,6,3,6,1,4,3
s312,3,4,4,6,4,6,2,5,3,3
s229,3,5,6,5,4,3,3,4,2,2
s318,7,3,5,NA,6,4,3,4,5,3
s063,7,3,3,5,5,4,3,6,5,3
s116,4,3,7,5,3,2,4,3,4,5
s071,4,2,5,5,7,1,4,5,5,3
s009,6,2,7,4,5,3,5,4,5,3
s062,4,6,5,5,3,4,4,6,3,4
s338,4,2,3,5,1,4,4,2,4,4
s345,6,5,3,7,3,6,3,5,4,4
s348,7,3,7,1,6,1,6,4,5,1
s234,4,5,2,7,6,3,3,3,2,5
s217,3,3,4,5,5,3,3,6,4,4
s161,5,4,4,4,4,5,2,4,7,4
s005,7,4,4,4,7,4,4,6,4,3
s024,2,7,5,4,4,6,4,4,6,6
s164,3,1,5,5,6,4,5,NA,4,4
s265,5,2,5,3,7,2,6,3,7,1
s264,4,3,4,5,4,6,3,4,4,6
s025,5,4,6,4,5,2,5,4,4,3
s008,5,5,1,7,4,5,2,7,2,4
s343,6,4,4,3,4,6,3,5,6,2
s266,4,5,1,5,3,4,2,5,4,6
s185,4,3,5,6,2,3,3,4,3,4
s201,5,2,3,3,5,3,5,2,6,2
s045,2,6,4,5,1,4,3,7,3,5
s142,5,6,3,5,4,NA,4,4,2,5
s177,4,5,4,5,4,3,2,6,2,4
s105,6,4,5,4,NA,3,4,3,4,3
s078,7,3,4,5,5,4,4,1,6,1
s183,3,7,4,7,2,7,1,6,2,3
s031,5,2,6,2,5,3,3,3,5,3
s084,4,1,6,3,2,5,5,3,1,5
s254,5,6,3,5,4,6,3,6,3,5
s290,2,4,4,4,4,4,2,3,2,4
s276,5,2,6,4,5,6,4,4,4,4
s321,4,4,4,5,6,2,5,4,4,4
s152,5,4,4,5,3,3,3,4,5,3
s165,3,3,5,5,4,2,5,6,4,4
s155,2,3,2,7,4,4,3,6,4,6
s311,2,4,5,6,1,4,4,5,2,5
s083,4,4,5,4,7,4,6,3,4,3
s202,3,4,2,6,5,4,4,7,5,6
s313,4,1,5,5,5,4,3,7,4,4
s225,3,3,4,5,5,4,2,3,6,4
s050,4,3,4,5,3,4,5,4,3,1
s067,4,5,4,4,3,5,1,4,3,4
s055,5,1,5,4,5,2,5,3,6,3
s012,6,5,4,4,4,3,1,4,4,3
s196,4,3,5,5,4,2,4,5,5,4
s350,5,6,3,4,4,4,6,5,4,3
s102,3,4,6,5,4,5,2,2,4,4
s094,4,2,3,5,5,3,4,6,5,4
s149,4,4,3,5,6,5,1,3,3,2
s043,4,5,3,7,4,5,1,7,3,5
s216,6,3,4,5,6,5,4,5,3,5
s151,5,3,5,3,3,4,3,5,7,1
s184,3,5,3,6,6,7,4,4,1,5
s295,4,4,6,3,4,5,3,5,6,5
s110,4,5,2,4,3,3,4,6,2,3
s014,4,5,3,4,4,6,1,7,1,5
s305,6,4,4,5,4,5,4,4,3,4
s056,5,4,5,5,3,5,1,3,4,5
s095,6,5,4,3,4,5,7,3,6,5
s150,5,4,4,4,4,3,3,5,6,4
s004,4,2,4,4,4,4,3,5,4,6
s113,5,6,2,4,3,5,1,6,5,4
s099,6,3,6,3,4,4,2,4,1,4
s273,5,3,4,5,3,3,5,6,5,4
s208,5,5,4,5,3,2,3,6,3,3
s124,4,4,4,2,5,3,3,2,4,4
s035,5,4,3,4,2,6,3,6,3,4
s159,4,4,4,6,4,4,2,2,NA,2
s250,3,1,4,1,3,4,2,5,5,6
s269,5,7,3,NA,5,1,6,4,4,4
s048,3,5,3,6,4,5,3,5,3,5
s291,2,5,2,4,6,5,6,5,4,4
s304,6,3,6,3,5,2,5,2,6,3
s238,4,6,5,5,2,6,1,6,3,6
s027,5,5,4,3,6,5,3,2,3,2
s098,5,1,7,6,3,3,6,2,4,2
s041,4,5,6,5,5,4,2,5,3,5
s101,4,4,3,4,3,6,4,5,3,4
s176,3,5,1,6,3,5,1,7,1,6
s040,5,4,4,6,4,5,2,5,2,3
s274,4,3,3,3,2,4,3,4,5,3
s340,5,5,6,4,7,2,5,7,5,3
s325,2,3,6,5,5,3,3,4,3,5
s241,4,4,4,5,3,4,4,7,5,5
s115,5,3,3,4,3,5,5,3,2,5
s092,4,2,4,3,5,5,4,6,3,3
s252,1,7,4,6,3,5,4,6,1,7
s019,5,2,5,3,4,2,4,7,3,3
s270,3,1,5,4,6,3,5,5,5,4
s283,7,4,6,2,7,5,6,2,6,3
s337,3,3,4,4,4,4,6,4,4,3
s300,5,2,3,3,5,4,1,4,3,3
s192,4,3,4,3,6,3,1,3,4,3
s207,6,3,5,1,5,4,7,4,5,3
s271,5,4,5,4,4,3,4,3,5,2
s213,4,5,6,4,5,4,4,3,5,4
s139,5,4,4,4,3,5,3,5,5,3
s037,3,4,3,5,2,6,2,6,3,5
s281,3,6,4,3,5,6,4,4,4,3
s047,6,2,5,4,7,1,7,2,4,1
s242,4,4,3,3,3,3,3,6,3,5
s127,3,2,6,4,3,4,6,6,3,6
s223,6,2,5,3,4,1,4,3,4,1
s023,3,5,3,5,3,5,3,4,3,7
s323,5,4,4,4,4,5,4,4,4,4
s052,6,4,NA,4,6,5,4,2,5,2
s191,4,4,5,5,6,2,3,2,4,2
s088,7,1,4,5,6,3,5,4,6,2
s275,4,4,4,5,5,4,3,7,4,4
s315,4,4,5,3,5,4,5,1,6,2
s268,2,4,5,2,3,4,1,5,2,1
s157,2,4,2,4,3,2,4,4,6,5
s033,4,4,3,3,6,5,2,5,2,3
s028,1,5,4,5,4,4,3,6,4,4
s013,5,5,4,6,6,3,3,5,4,4
s022,4,3,2,6,2,4,2,7,1,7
s260,6,3,3,6,3,4,4,6,4,3
s051,7,3,4,2,7,3,3,5,5,3
s230,4,5,5,4,4,4,4,5,7,3
s246,5,5,6,7,4,7,4,4,5,4
s039,1,4,3,4,7,3,2,5,5,4
s058,5,3,3,4,5,5,6,1,5,2
s180,6,1,4,4,5,2,7,3,6,4
s170,4,5,5,5,4,6,5,3,7,3
s117,4,1,4,2,5,6,2,5,5,3
s282,5,1,6,4,6,3,4,1,4,2
s232,4,3,4,6,4,6,3,4,4,7
s195,3,5,5,5,4,5,4,4,5,3
s068,3,5,3,5,4,2,1,4,4,4
s218,3,2,4,6,4,4,6,5,4,3
s036,6,3,6,1,6,1,4,2,7,1
s118,4,5,4,5,4,2,4,4,5,3
s278,5,4,4,4,4,5,4,5,2,4
s072,6,3,4,6,5,3,4,3,4,2
s351,5,4,5,2,6,1,4,2,5,2
s016,6,4,5,5,6,4,4,2,4,4
s233,4,6,5,5,3,5,3,5,1,5
s087,3,4,4,6,6,4,3,5,5,3
s073,3,3,4,5,4,3,5,5,5,3
s076,4,5,5,6,3,6,4,4,3,4
s032,3,4,6,4,5,5,4,5,6,4
s262,3,3,2,4,3,2,1,5,2,7
