subj_id,F-q01,R-q02,F-q03,R-q04,F-q05,R-q06,F-q07,R-q08,F-q09,R-q10,F-q11
s124,4,4,4,5,6,4,5,4,5,4,5
s021,3,5,3,3,5,5,4,4,5,4,5
s182,4,3,5,1,5,4,6,4,3,3,5
s225,4,4,6,4,3,3,6,6,5,6,7
s348,3,1,7,3,5,3,6,2,5,4,5
s292,5,4,4,5,2,3,6,5,4,5,6
s340,4,4,5,3,4,3,5,4,3,3,5
s112,4,5,2,4,3,6,2,5,2,3,4
s127,1,6,3,2,2,4,2,4,3,5,2
s085,5,6,4,2,5,4,4,3,5,4,5
s286,4,4,4,3,3,4,4,5,7,6,3
s317,2,5,2,1,5,4,5,5,1,4,4
s252,3,4,7,5,5,4,5,5,4,1,5
s115,4,3,4,3,3,3,4,2,4,5,2
s037,3,4,5,3,4,4,5,5,2,3,7
s364,4,4,4,5,2,5,3,6,3,5,4
s227,4,2,4,NA,4,3,6,2,5,2,5
s082,3,4,5,6,4,5,5,6,4,5,6
s075,4,4,4,4,6,3,4,5,3,6,5
s310,4,5,5,3,5,3,7,4,3,3,3
s331,1,7,2,4,2,7,3,6,3,4,1
s316,3,4,4,3,2,5,1,5,3,5,4
s116,3,4,7,5,3,3,4,2,5,5,4
s207,2,4,3,4,3,4,4,7,1,5,3
s305,6,4,4,2,7,4,6,3,6,4,4
s048,3,4,5,1,6,3,6,1,5,2,3
s188,4,4,6,3,3,3,5,3,3,1,4
s238,2,3,6,3,4,4,4,5,7,5,3
s054,3,4,5,5,2,4,2,6,2,2,4
s219,4,2,5,NA,1,3,5,3,6,3,4
s138,4,4,7,3,4,4,5,3,6,4,5
s208,3,5,4,5,4,4,6,7,3,5,3
s246,2,4,5,4,3,4,5,5,5,3,4
s163,3,5,2,6,3,6,5,6,4,4,4
s155,1,6,3,3,1,4,2,5,4,4,4
s026,4,5,4,3,3,4,5,4,3,5,4
s336,1,6,2,5,1,5,4,6,5,5,1
s019,2,5,3,5,4,6,4,5,3,4,2
s029,3,5,2,5,4,5,6,5,2,4,5
s113,5,2,6,4,2,5,5,4,2,4,4
s333,4,4,2,3,3,5,4,4,4,3,3
s109,4,5,4,4,3,3,6,5,3,5,4
s172,4,5,4,4,1,4,4,4,4,4,4
s016,5,3,5,2,6,2,7,2,6,4,4
s175,5,1,5,3,5,1,7,5,6,2,7
s151,2,4,3,3,2,7,2,6,3,5,2
s070,3,6,3,1,5,4,5,3,2,4,6
s125,4,3,2,3,3,5,2,7,4,6,2
s267,4,2,3,2,4,4,5,4,4,2,4
s240,1,4,3,3,4,6,2,6,3,5,2
s078,2,4,4,1,3,4,6,4,4,4,5
s288,3,6,6,3,4,4,3,5,4,4,3
s104,4,4,4,4,3,2,5,3,2,6,6
s344,5,6,4,2,4,3,7,2,6,3,4
s245,3,3,4,1,3,3,5,1,6,3,5
s204,5,2,4,2,2,3,5,1,7,2,NA
s100,1,5,4,4,2,4,3,4,3,6,5
s061,5,5,7,1,4,4,7,2,4,4,6
s200,2,7,4,2,4,4,5,3,6,5,4
s272,3,6,5,4,2,5,5,4,4,4,4
s290,2,5,3,6,3,4,4,6,3,6,4
s148,2,5,5,4,2,3,6,5,4,5,4
s180,5,5,4,2,4,3,5,4,4,2,5
s291,4,5,4,2,1,3,4,4,4,4,4
s216,4,2,6,1,4,3,6,5,5,3,4
s289,3,4,6,1,3,5,3,6,4,3,4
s222,2,2,6,3,4,3,4,1,6,3,5
s170,4,6,4,1,4,4,6,2,5,3,5
s014,2,4,4,3,3,5,4,5,3,4,4
