subj_id,q01_F,q02_R,q03_F,q04_R,q05_F,q06_R,q07_F,q08_R,q09_F,q10_R,q11_F
s068,3,6,3,4,3,6,3,5,3,4,3
s148,5,3,5,4,5,5,5,4,4,2,4
s368,6,4,6,3,5,5,4,3,4,5,5
s140,2,7,2,7,3,5,1,5,3,6,3
s370,4,3,5,3,3,4,5,4,5,3,6
s194,5,5,3,6,4,5,4,5,3,5,4
s180,4,4,3,6,2,4,4,6,3,1,2
s164,5,3,6,4,2,3,4,2,5,4,5
s124,2,4,2,6,2,7,3,7,4,5,1
s132,7,1,6,3,6,4,4,3,5,6,4
s001,5,4,4,5,3,3,5,3,2,3,2
s202,5,4,6,5,5,3,5,5,4,2,5
s162,4,5,3,4,5,3,4,3,4,4,4
s082,3,4,3,6,1,5,4,6,4,4,1
s239,6,3,5,5,5,2,4,7,4,3,5
s111,4,5,2,7,1,7,1,7,1,7,1
s310,3,4,4,5,3,5,3,6,2,7,2
s383,5,4,6,3,3,3,5,4,4,6,5
s397,2,5,5,4,2,3,2,7,3,4,2
s320,5,4,4,6,3,3,3,5,3,1,7
s014,7,3,4,4,5,6,5,4,4,3,6
s301,5,5,5,1,4,2,4,4,3,4,4
s285,7,2,7,5,6,5,5,4,6,1,6
s287,5,4,4,7,3,5,4,5,4,4,4
s227,5,3,7,3,5,2,5,4,7,2,6
s331,4,2,5,4,2,4,4,4,5,4,2
s223,4,4,4,5,4,5,5,4,4,4,5
s272,4,3,4,4,4,6,4,6,4,2,4
s100,2,3,2,4,4,6,1,5,3,3,3
s078,7,2,NA,4,4,4,5,4,7,4,5
s350,6,7,3,4,3,5,3,7,3,4,1
s215,4,3,5,4,5,4,5,5,3,1,5
s057,5,4,6,3,6,3,6,3,4,1,4
s003,6,3,6,5,4,4,4,3,6,4,2
s028,4,4,4,5,3,5,4,4,3,4,4
s384,3,4,5,6,1,4,3,4,1,3,2
s269,5,4,5,5,2,6,5,5,4,4,3
s358,2,5,1,4,3,4,1,6,3,4,4
s392,4,5,2,7,2,4,2,6,4,5,1
s102,6,1,5,3,4,2,6,4,6,5,4
s366,5,3,4,5,4,4,6,7,4,5,6
s089,4,5,4,3,5,4,7,4,3,4,5
s174,4,5,4,6,2,4,4,4,7,4,3
s388,5,3,6,4,4,5,4,4,6,3,7
s325,7,2,4,2,5,4,2,2,4,1,7
s177,5,2,5,3,4,6,5,3,4,3,4
s109,5,1,5,3,3,4,4,4,3,2,3
s278,5,4,5,5,5,3,4,4,7,5,4
s231,4,5,3,4,2,7,1,4,3,4,4
s074,6,1,6,1,4,2,4,3,7,1,3
s190,5,2,6,2,4,3,3,NA,6,5,4
s071,4,6,6,4,4,4,3,3,4,5,4
s108,1,3,3,7,2,6,3,6,4,7,1
s372,6,4,5,6,2,3,5,4,4,3,5
s257,4,4,3,4,5,4,6,3,5,5,4
s373,7,1,5,3,5,5,5,4,6,1,6
s222,5,4,4,6,6,4,4,5,4,4,2
s340,5,2,3,5,5,3,5,4,6,3,3
s377,7,4,6,4,5,3,5,1,7,3,5
s346,6,2,5,4,5,5,6,4,5,2,5
s273,6,4,3,3,3,5,4,4,4,2,4
s155,4,4,3,4,4,3,6,4,4,2,5
s013,3,5,3,4,5,5,5,5,4,4,3
s305,5,3,4,3,3,3,1,7,2,3,6
s280,6,5,5,3,3,5,4,6,4,3,4
s316,4,3,5,5,2,6,6,5,4,6,4
s121,4,4,3,6,4,4,4,2,3,6,4
s135,6,1,4,4,4,4,4,4,5,2,5
s004,5,5,5,5,4,4,3,5,3,3,3
s303,2,4,2,7,3,6,3,5,6,2,4
