subj_id,F q1,R q2,F q3,R q4,F q5,R q6,F q7,R q8
s198,6,6,3,4,3,3,3,4
s296,5,4,4,4,5,4,4,4
s259,4,3,5,2,5,3,6,3
s266,3,3,5,2,4,4,5,5
s084,6,4,6,3,4,3,4,4
s106,5,4,3,4,2,6,2,4
s293,4,4,3,5,4,2,6,6
s028,6,2,4,3,3,3,6,4
s042,1,6,1,7,2,4,1,6
s267,4,4,6,2,3,4,7,1
s311,7,4,5,5,4,1,4,2
s182,7,3,3,4,4,4,7,5
s048,6,2,5,2,5,2,7,1
s233,4,3,3,4,4,2,4,4
s027,6,4,3,2,5,4,5,4
s074,7,3,4,2,4,3,5,2
s058,4,4,3,5,4,5,4,4
s003,5,5,7,1,4,3,7,4
s234,5,4,3,5,1,4,2,3
s111,2,4,4,4,3,5,5,6
s173,6,4,4,4,4,3,7,1
s029,4,4,4,5,4,3,5,3
s019,4,7,4,4,2,5,4,4
s158,2,5,3,5,4,5,3,5
s113,6,4,4,2,4,4,5,6
s192,2,6,3,5,2,6,6,6
s302,7,3,4,1,4,3,4,1
s228,6,3,7,3,3,3,5,3
s252,NA,1,5,1,3,3,4,2
s163,5,1,5,4,2,4,7,1
s010,5,3,5,4,5,4,7,5
s079,4,4,5,4,5,5,4,4
s204,3,4,4,7,2,4,4,7
s249,4,3,5,3,4,2,6,3
s223,3,4,5,4,2,4,6,3
s294,5,2,5,4,3,2,6,3
s070,6,6,5,6,2,4,3,5
s226,2,3,2,4,4,2,5,4
s123,5,1,5,3,4,4,5,4
s039,5,5,5,4,5,7,5,1
s279,5,4,4,4,6,2,6,3
s154,7,1,4,2,6,2,7,4
s155,4,3,2,3,3,5,6,5
s153,4,4,4,5,3,3,4,3
s004,4,4,4,4,3,4,4,2
s221,4,4,5,2,7,2,7,4
s269,4,4,3,5,3,4,3,5
s176,4,2,5,5,4,6,6,4
s011,6,3,3,5,3,5,5,4
s236,5,4,4,5,3,5,4,6
s177,4,1,4,3,5,3,5,2
s195,7,4,4,2,3,5,6,6
s104,2,6,4,4,4,5,1,5
s053,3,5,4,3,4,3,4,3
s287,4,5,4,5,3,4,2,4
s085,3,7,2,6,2,7,4,6
s107,6,5,3,6,2,4,4,6
s274,4,3,5,2,5,3,3,4
s165,4,6,3,2,4,1,6,2
s017,4,5,4,5,4,5,4,3
s229,4,3,4,6,3,4,4,4
s180,4,3,5,6,2,5,6,4
s187,5,2,4,3,3,2,7,1
s212,4,7,2,6,1,6,2,7
s094,3,5,3,7,2,6,4,4
s112,5,4,5,2,6,5,4,1
s032,4,6,4,3,4,4,4,3
s133,6,2,5,1,4,1,7,5
s251,5,4,4,4,5,4,2,5
s100,6,6,4,5,4,4,6,2
s140,4,4,2,3,1,4,1,5
s246,4,4,3,2,3,4,4,2
s175,1,4,5,4,2,5,3,4
s250,3,3,3,5,3,5,5,4
s149,6,4,4,3,5,3,5,3
s284,5,4,4,3,4,4,6,6
s121,5,3,4,4,4,4,5,4
s304,4,6,3,4,2,1,5,2
s215,3,3,5,3,5,2,6,5
s239,3,2,4,5,3,5,7,4
s222,6,3,5,4,3,3,5,3
s025,5,4,7,4,4,3,4,4
s208,4,6,4,NA,2,7,1,5
s169,4,5,3,2,4,4,4,4
s297,3,5,3,3,2,3,3,3
s139,5,4,2,3,3,4,2,5
s292,7,4,7,4,4,3,5,2
s160,4,5,4,6,3,4,4,2
s061,6,4,4,5,2,4,5,6
s067,6,4,5,5,3,4,3,2
s197,4,3,5,5,3,3,5,2
s247,1,3,5,6,2,3,5,6
s255,7,5,4,4,3,4,3,3
s181,4,4,5,5,4,2,5,4
s214,4,5,3,5,3,5,4,3
s188,5,5,5,4,3,5,4,4
s077,2,7,1,7,2,5,4,5
s186,6,3,5,2,3,4,7,1
s148,5,3,4,2,4,3,6,1
s157,6,2,3,1,1,1,7,2
s218,2,4,4,4,3,4,4,4
s129,4,4,2,4,1,6,1,4
s015,5,4,3,5,4,4,3,7
s265,3,3,6,4,3,4,5,6
s037,6,5,4,4,1,4,5,6
s150,4,4,4,5,4,4,5,5
s156,4,5,1,5,3,4,4,6
s268,4,7,2,5,4,5,4,4
s283,4,3,5,1,4,3,5,2
s063,5,6,7,4,2,3,3,4
s308,4,4,3,4,4,4,6,3
s301,3,5,2,3,4,4,5,3
s046,4,4,3,3,2,4,2,5
s253,4,4,4,5,3,7,3,3
s066,4,5,6,4,4,5,4,3
s146,4,4,2,5,4,5,5,4
s286,5,3,6,1,6,1,7,2
s040,4,4,3,4,4,5,5,4
s083,5,4,4,3,3,4,5,4
s189,4,2,4,3,4,4,3,4
s088,6,2,5,3,7,3,4,5
s224,3,6,1,4,1,6,3,5
s256,2,3,5,5,4,4,7,6
s278,4,1,5,2,5,3,5,3
s052,7,1,3,2,6,4,7,4
s102,6,3,6,5,4,4,2,4
s179,6,3,7,2,7,3,5,4
s124,5,4,5,5,4,1,5,3
s127,4,4,3,5,2,7,4,5
s201,7,5,6,5,5,4,7,3
s099,4,4,3,5,2,4,1,6
s303,4,7,2,5,3,6,2,6
s023,3,3,5,3,3,5,5,2
s171,5,2,5,6,4,3,3,5
s242,3,4,5,3,3,4,5,4
s114,4,4,5,5,2,3,3,4
s018,3,4,2,5,1,6,2,5
s183,4,5,3,3,3,4,3,4
s115,4,2,7,4,4,2,4,2
s213,7,2,4,2,6,3,7,2
s097,4,1,4,5,3,4,4,2
s288,5,1,3,3,3,3,4,4
s282,4,5,4,4,6,5,5,6
s271,4,5,1,3,2,6,2,5
s001,7,5,2,3,4,6,5,4
s071,5,3,5,4,3,4,2,3
s238,5,2,5,1,5,3,6,4
s105,7,5,4,3,4,3,4,3
s261,3,5,3,5,1,6,5,4
s263,5,5,4,3,3,5,1,5
s060,3,4,3,3,5,3,6,7
s041,4,3,5,5,4,6,3,5
s178,4,4,1,6,4,NA,3,5
s092,4,5,2,6,1,6,1,7
s290,7,6,6,5,2,2,4,5
s103,7,2,6,4,3,2,5,3
s118,3,5,3,5,3,6,3,4
s295,3,5,2,5,3,3,5,5
s045,5,2,5,2,3,3,5,1
s089,4,5,4,5,2,3,5,5
s026,2,4,3,5,5,4,4,4
s196,3,6,2,6,3,2,3,7
s276,6,2,3,7,3,5,4,4
s174,4,4,5,3,5,2,5,5
s166,5,4,3,4,5,2,4,6
s281,5,2,5,4,4,4,5,4
s191,4,4,2,2,3,7,5,5
s237,4,1,5,4,4,1,4,3
s090,2,6,4,6,1,7,5,5
s309,3,2,4,4,6,2,5,5
s245,4,4,3,3,4,3,4,6
s009,5,3,3,3,4,7,2,4
s014,3,6,1,7,4,4,4,5
s131,7,4,6,3,5,2,5,2
s108,4,2,4,6,3,1,3,4
s219,4,3,5,4,4,1,7,1
s273,6,6,4,6,5,3,1,5
s059,4,4,5,5,3,6,5,3
s122,5,3,6,3,4,2,5,1
s262,3,4,1,6,2,6,2,6
s194,5,5,3,2,3,3,2,3
s087,7,4,2,6,4,4,2,4
s093,3,4,4,4,4,5,4,5
s217,1,3,3,3,1,4,1,5
s202,5,3,6,4,3,4,4,5
s159,5,4,4,4,3,7,4,3
s209,4,4,4,4,2,3,4,5
s145,3,5,2,6,3,5,3,3
s260,4,7,1,5,1,3,4,7
s056,5,6,6,4,4,4,3,4
s020,4,6,5,1,2,5,3,3
s080,1,7,2,5,1,6,2,7
s033,4,4,5,5,1,4,4,6
s289,4,2,5,2,4,1,6,4
s024,4,3,4,4,5,2,4,3
s216,5,4,2,5,3,5,3,3
s193,4,2,4,2,3,4,5,NA
s065,4,4,1,3,1,6,2,5
s141,4,3,2,4,4,2,NA,5
s161,7,4,4,4,2,1,6,3
s277,3,3,4,4,4,4,2,4
s280,4,5,2,5,3,7,4,4
s312,3,5,2,3,2,5,3,5
s170,4,4,4,2,3,5,5,2
s006,3,6,5,4,1,4,4,3
s054,4,5,7,6,1,3,6,2
s012,4,5,6,4,2,4,6,3
s230,7,4,6,1,3,3,4,3
s078,7,3,4,3,3,2,5,5
s184,2,3,4,4,7,4,4,4
s135,2,5,1,6,1,6,2,7
s119,4,2,1,1,6,4,7,3
s049,4,6,2,7,5,3,6,4
s081,5,4,6,3,3,4,5,3
s258,6,4,4,4,3,5,4,3
s002,6,4,4,5,4,3,5,4
s272,3,5,4,4,2,3,1,4
s143,7,4,3,4,4,4,5,5
s050,3,7,1,6,2,7,3,6
