subj_id,F-q01,R-q02,F-q03,R-q04,F-q05,R-q06,F-q07,R-q08,F-q09,R-q10,F-q11
s264,3,5,4,7,3,5,4,6,4,4,2
s280,4,4,5,3,5,5,5,4,7,3,3
s058,5,3,5,3,6,1,7,4,6,1,4
s089,4,3,4,3,6,6,4,4,7,1,5
s136,3,6,1,3,2,7,2,5,3,5,3
s054,4,3,4,4,3,3,5,3,7,4,4
s227,2,4,3,5,5,2,4,4,4,5,1
s263,3,5,2,4,5,3,6,6,4,3,2
s087,3,3,6,4,4,4,6,3,6,4,1
s009,2,7,3,4,3,5,2,7,6,5,2
s138,2,3,7,3,4,4,6,1,6,1,5
s246,1,7,6,4,3,5,4,5,4,6,4
s228,2,6,4,5,2,5,5,4,4,5,3
s178,6,3,1,6,3,4,4,5,4,4,4
s152,2,6,3,7,2,4,1,5,2,4,5
s080,4,7,2,5,2,5,6,4,5,7,1
s231,4,4,5,4,4,2,7,3,6,5,5
s124,1,7,3,7,3,7,2,3,3,4,4
s256,2,5,3,4,5,6,3,4,5,5,6
s091,3,4,3,5,5,4,3,4,5,6,1
s245,3,6,3,5,4,3,4,2,6,5,2
s041,4,5,4,5,3,3,5,2,5,4,3
s260,4,4,6,2,5,4,7,6,4,1,4
s045,4,5,3,5,2,6,2,7,4,4,3
s025,4,4,2,5,4,5,4,6,6,4,4
s032,3,4,2,4,2,6,3,7,2,5,2
s186,2,4,3,5,5,6,4,5,5,4,3
s253,4,4,5,6,4,4,4,4,4,2,5
s067,4,4,2,4,6,3,6,5,3,5,4
s155,5,3,3,4,4,7,3,4,6,4,5
s055,3,4,4,4,5,3,5,5,5,4,2
s103,2,5,4,4,3,4,2,3,5,5,4
s157,5,4,6,4,3,6,4,4,4,5,5
s081,3,7,4,2,3,4,6,4,5,6,5
s133,4,4,5,4,5,3,7,4,4,3,5
s225,5,4,6,5,4,6,3,2,4,1,6
s130,3,2,4,3,5,4,7,4,5,3,4
s287,1,5,4,6,3,4,5,4,5,6,3
s056,4,5,3,3,4,5,5,3,5,3,7
s306,1,7,3,7,3,4,4,5,4,5,2
s293,4,2,5,4,5,2,6,4,6,3,4
s018,6,5,4,4,6,4,6,3,4,2,7
s267,4,3,4,3,4,6,2,5,6,4,2
s173,4,6,5,5,5,3,4,4,5,3,4
s095,4,2,5,4,5,2,5,3,7,2,6
s048,5,6,4,5,2,5,5,3,6,2,5
s277,1,2,4,4,5,3,4,3,5,3,3
s005,4,4,7,5,4,2,4,4,3,4,4
s184,3,5,5,4,5,6,6,5,3,5,3
s099,3,5,4,3,1,2,4,5,5,2,3
s290,4,5,5,3,7,5,7,3,5,4,5
s242,1,7,2,7,3,6,4,5,4,4,2
s254,1,3,5,3,5,5,4,3,5,4,4
s098,6,1,6,3,5,1,6,4,7,5,6
s229,1,6,4,4,5,3,4,3,4,4,3
s250,4,4,4,6,5,7,3,1,7,2,4
s206,5,3,3,4,7,5,4,4,7,2,3
s164,2,5,1,7,4,5,4,5,4,6,1
s059,4,3,5,5,5,3,3,5,5,5,4
s291,2,6,1,5,4,5,4,4,4,7,3
s159,4,4,4,4,4,4,5,4,7,2,4
s078,3,5,3,5,4,6,4,5,2,5,2
s128,1,5,NA,6,1,7,3,5,2,6,3
s013,3,4,4,3,4,5,1,3,5,5,2
s201,6,2,5,4,5,3,7,3,6,2,4
s300,5,3,4,5,7,3,6,3,5,3,4
s114,4,4,4,6,2,3,5,6,6,4,4
s070,3,4,4,3,4,5,4,1,4,2,5
s083,4,2,3,2,4,2,4,3,6,4,4
s033,3,4,3,4,5,6,4,5,4,4,7
s210,4,6,3,4,5,5,6,2,6,4,5
s179,4,6,4,4,4,3,4,4,4,4,2
s154,3,5,3,1,4,7,3,5,3,4,2
s044,3,3,5,4,6,4,3,2,6,3,4
s035,3,5,4,6,4,3,6,4,3,6,3
s052,4,4,4,6,4,4,6,3,7,1,4
s145,4,1,5,4,6,4,6,4,7,4,4
s002,4,6,1,3,5,2,4,4,3,5,4
s090,3,5,3,5,1,4,3,4,3,4,3
s075,6,4,5,4,4,4,4,6,4,4,4
s307,3,4,5,5,4,3,5,5,4,5,5
s074,3,7,2,6,2,5,4,6,3,6,2
s262,2,5,2,3,4,5,4,5,6,4,3
s126,2,5,4,4,3,3,4,6,7,2,4
s284,4,2,4,2,5,5,4,3,7,4,5
s011,3,4,5,5,3,4,5,5,4,4,5
s092,2,7,4,6,3,5,4,4,3,5,3
s113,5,4,3,3,7,1,4,1,7,3,5
s120,5,4,3,6,5,4,5,5,5,4,4
s193,3,5,6,5,6,5,4,3,4,5,3
s121,4,5,3,5,3,5,5,4,4,2,3
s023,4,3,4,2,3,4,3,3,7,3,2
s096,4,3,3,7,6,3,5,3,6,2,6
s196,2,6,6,5,5,2,6,5,7,4,4
s239,3,4,2,2,6,5,4,2,6,2,4
s195,3,7,3,3,4,5,3,NA,7,5,4
s046,4,6,3,4,5,4,4,4,7,2,5
s026,2,5,4,4,3,7,2,5,6,5,4
s123,2,5,3,5,3,5,3,3,5,5,4
s135,2,5,4,5,2,5,3,5,5,3,1
s115,4,3,4,5,5,3,4,5,6,4,7
s167,4,5,2,4,2,3,4,5,4,3,4
s158,4,5,4,4,5,2,7,2,7,5,3
s093,4,5,4,5,5,5,4,4,5,4,4
s240,4,5,3,4,3,3,6,4,5,2,5
s301,3,4,3,3,1,7,4,5,4,3,3
s226,4,4,4,5,5,3,5,3,5,2,3
s162,3,3,5,5,4,6,2,5,5,4,3
s053,4,3,4,4,5,2,7,2,7,2,4
s235,4,5,3,4,5,6,5,1,6,3,5
s182,5,NA,1,6,4,2,4,4,5,5,1
s001,4,4,2,7,5,4,4,2,4,5,4
s198,2,7,4,7,4,7,1,5,2,6,3
s063,4,5,4,4,4,5,4,4,7,3,4
s203,4,5,2,5,4,5,3,4,5,5,5
s160,2,6,1,4,5,4,5,5,4,4,3
s224,5,4,4,4,6,2,4,4,5,3,6
s076,2,4,4,4,1,5,2,5,4,4,5
s147,3,4,3,6,5,5,4,6,4,2,4
s191,5,5,5,5,3,6,5,5,NA,4,5
s062,7,4,5,2,4,2,4,4,5,1,2
s252,2,3,3,6,1,5,3,4,3,5,3
s238,5,3,6,5,3,4,6,1,4,1,5
s220,5,2,4,3,5,2,5,3,5,2,6
s217,5,5,4,5,6,2,5,2,5,3,4
s039,1,6,4,6,3,5,5,6,2,4,5
s211,3,6,3,4,5,5,4,3,5,4,4
s275,3,3,3,4,3,5,3,5,5,2,4
s131,5,5,4,4,4,4,4,5,3,3,6
s170,4,5,5,5,4,6,4,NA,6,3,2
s100,1,7,3,6,5,5,4,4,4,5,4
s010,5,3,7,3,6,2,4,2,6,5,5
s304,2,4,3,5,5,4,7,1,7,4,5
s161,3,4,4,5,3,5,5,2,4,4,5
s014,5,4,7,2,4,5,5,5,5,4,5
s273,4,5,4,5,4,3,3,5,6,3,4
s299,5,4,6,7,7,4,4,4,5,5,4
s261,3,5,3,5,4,5,4,5,3,6,3
s268,2,3,2,5,3,6,3,4,4,4,3
s051,5,3,6,5,4,3,4,3,4,3,5
s040,3,6,7,4,4,5,5,4,5,3,7
s213,3,5,3,5,2,4,2,6,3,4,3
s177,2,4,4,6,4,4,5,5,4,6,6
s061,4,5,4,5,4,7,3,6,4,4,2
s259,4,2,6,4,4,3,5,4,5,4,3
s086,3,6,4,4,6,4,5,4,5,4,2
s187,3,2,5,2,6,6,3,4,4,5,7
s247,6,3,6,3,5,3,5,5,7,2,4
s146,4,3,4,5,4,2,5,3,5,3,3
s282,1,4,NA,4,4,2,5,3,NA,6,4
s180,3,6,4,6,5,2,5,2,3,4,2
s069,3,3,4,3,6,3,4,4,7,3,5
s230,2,6,3,7,1,6,3,5,3,5,1
s028,6,3,7,3,4,5,5,2,6,3,5
s169,2,5,2,5,5,4,3,1,5,4,3
s223,2,7,1,5,3,6,2,5,5,2,2
s084,2,3,5,3,4,4,5,3,6,3,6
