subj_id,Fq1,Rq2,Fq3,Rq4,Fq5
s245,5,5,6,4,3
s351,4,3,4,3,3
s069,5,5,4,5,6
s165,4,5,3,4,NA
s254,4,6,4,7,3
s339,2,5,3,6,5
s099,2,3,5,4,5
s330,5,5,5,4,4
s388,2,4,2,6,5
s207,3,3,3,7,4
s297,6,4,7,1,5
s036,4,6,3,7,7
s188,3,7,5,4,4
s267,4,4,1,4,3
s242,6,4,5,2,6
s163,4,4,3,3,3
s261,4,4,6,4,4
s222,1,6,3,2,3
s021,3,5,3,5,4
s334,4,7,1,6,4
s343,4,5,3,4,3
s079,5,4,7,2,6
s235,2,7,5,5,4
s356,5,4,4,6,4
s300,2,4,3,5,5
s171,NA,3,4,1,7
s361,5,6,5,2,5
s251,4,5,4,3,5
s096,1,7,1,6,4
s119,2,7,4,3,5
s185,6,4,5,4,6
s244,5,4,5,4,7
s080,5,5,4,2,4
s308,5,1,7,3,7
s342,4,3,4,5,5
s083,2,7,2,4,3
s013,4,5,3,5,5
s054,4,4,4,2,4
s303,5,4,3,5,3
s141,6,3,4,4,6
s186,3,2,6,4,3
s223,1,7,1,5,3
s321,4,3,4,5,6
s205,3,6,4,4,3
s198,2,5,4,5,4
s149,4,3,4,3,5
s257,5,6,3,3,5
s331,4,2,6,3,NA
s341,1,5,2,4,3
s285,1,6,3,4,2
s202,4,5,5,5,1
s194,3,6,4,6,2
s227,4,3,3,3,3
s032,4,5,6,2,2
s142,3,4,5,4,4
s372,1,5,4,6,4
s031,3,3,5,4,3
s105,4,7,3,4,4
s378,7,1,6,2,4
s007,2,7,4,6,6
s200,4,3,4,4,3
s253,3,2,4,7,4
s249,4,4,5,4,4
s374,3,3,3,4,4
s077,3,4,5,3,4
s269,4,6,4,5,5
s035,3,3,6,5,4
s234,3,6,5,5,3
s038,4,4,5,4,4
s055,4,4,1,4,2
s131,4,3,4,3,5
s354,5,2,7,7,3
s290,6,4,4,4,3
s211,4,4,5,5,6
s121,4,4,3,6,3
s181,3,3,5,5,4
s081,5,4,4,3,4
s174,5,4,5,4,6
s260,7,3,5,5,6
s313,7,3,4,5,NA
s028,2,7,1,7,2
s180,5,5,6,2,5
s360,3,3,2,3,3
s016,3,4,4,4,6
s229,2,3,5,5,4
s136,4,4,3,3,6
s184,4,7,3,4,3
s063,4,5,2,4,7
s271,4,3,5,3,7
s050,2,NA,3,3,4
s182,5,4,4,5,4
s380,4,3,3,4,5
s040,4,5,3,3,6
s228,2,5,1,4,3
s113,3,4,4,4,2
s154,4,5,3,4,4
s179,6,5,5,6,4
s076,4,4,3,3,4
s350,4,4,5,3,4
s357,5,5,3,4,2
s240,4,6,2,7,3
s107,5,3,7,3,7
s134,6,1,6,5,6
s379,3,5,2,3,3
s020,5,2,4,4,4
s255,4,6,6,3,3
s137,4,5,4,4,4
s276,4,5,3,5,3
s133,6,5,7,4,5
s189,4,6,4,5,5
s337,5,4,4,5,5
s237,2,6,5,4,2
s086,4,4,4,5,5
s282,5,2,4,2,5
s023,3,6,5,2,4
s204,2,3,2,4,5
s122,2,1,6,3,5
s164,3,5,5,4,4
s159,2,5,4,6,3
s359,5,5,3,4,2
s091,5,7,2,6,2
s298,6,4,3,3,4
s144,5,2,3,4,5
s087,4,5,4,5,3
s314,3,7,1,5,4
s085,3,5,NA,4,4
s117,4,4,3,5,5
s089,6,6,4,5,3
s178,4,4,5,4,3
s027,4,4,6,5,3
s382,5,4,4,3,3
s345,5,4,6,2,6
s044,2,6,2,5,6
s109,3,5,4,5,7
s015,3,4,6,2,5
s232,5,5,6,2,3
s210,3,3,3,4,5
s264,6,2,5,1,6
s349,7,2,5,1,7
s102,4,4,6,4,4
s315,4,4,6,2,6
s172,5,5,7,2,5
s175,4,1,5,1,4
s340,6,4,4,1,6
s218,3,5,3,6,3
s221,4,4,6,3,5
s369,5,4,4,2,6
s286,5,2,4,3,4
s248,4,2,4,4,5
