subj_id,q01-F,q02-R,q03-F,q04-R,q05-F,q06-R,q07-F,q08-R,q09-F,q10-R,q11-F
s228,3,6,3,4,4,7,2,4,1,5,1
s229,4,3,6,4,6,3,5,3,6,4,5
s262,6,2,5,1,5,2,5,3,6,2,7
s075,4,6,5,5,3,4,3,4,4,3,5
s187,3,6,5,5,5,7,4,4,5,4,5
s296,1,7,3,5,4,7,2,7,4,6,3
s200,3,5,3,7,4,4,5,5,3,4,2
s070,1,7,3,7,4,5,3,7,5,4,4
s026,4,5,3,4,4,7,4,4,6,5,5
s188,4,4,3,4,4,4,5,4,5,3,4
s140,3,5,4,5,4,5,4,6,5,3,4
s103,5,5,5,4,3,4,5,5,7,4,4
s268,4,3,4,4,3,5,5,4,4,2,3
s027,3,5,3,5,5,7,4,7,5,4,4
s053,3,4,2,4,5,3,3,3,6,4,2
s201,6,4,3,5,3,4,5,5,4,5,5
s093,4,6,4,4,NA,5,5,6,4,4,4
s085,4,5,4,5,2,4,4,6,3,4,3
s110,1,6,5,5,5,3,2,7,4,4,1
s267,5,2,4,3,4,7,2,4,3,3,4
s111,4,2,4,4,5,4,2,2,6,4,2
s211,5,4,4,4,7,5,2,5,7,6,5
s263,4,6,3,6,6,6,2,5,5,5,3
s191,4,4,6,2,7,4,4,2,5,3,6
s203,4,4,5,4,4,2,5,4,NA,2,6
s250,4,5,3,3,5,5,5,6,4,2,6
s194,5,5,4,5,4,4,4,6,3,5,3
s092,4,2,4,4,5,7,2,4,4,6,5
s260,3,5,5,6,2,7,5,7,3,3,2
s259,6,4,5,2,6,4,4,4,3,2,6
s100,4,6,4,NA,7,5,5,5,5,3,6
s088,7,2,5,1,7,2,5,1,7,1,7
s023,2,5,4,4,3,7,6,4,4,4,4
s051,6,3,5,2,5,5,4,6,5,1,7
s195,6,2,7,3,5,2,4,5,6,3,6
s087,3,6,3,4,6,5,5,3,4,3,3
s278,7,1,5,3,5,6,6,4,4,2,6
s004,5,4,4,4,5,4,3,3,4,1,5
s318,5,5,4,4,4,4,2,5,2,4,4
s040,4,5,4,4,4,4,5,4,5,2,5
s178,6,4,7,4,3,3,3,2,4,2,3
s286,2,6,5,7,2,3,1,6,3,5,4
s247,4,6,4,3,3,4,3,5,4,6,5
s252,3,5,2,6,2,4,3,6,1,4,4
s076,4,4,4,4,4,NA,4,4,6,4,4
s197,7,3,5,4,5,4,4,4,4,4,5
s090,5,4,6,5,6,5,6,2,6,2,6
s182,5,4,4,3,7,3,5,1,6,3,6
s107,3,3,5,3,4,4,5,4,4,3,3
s029,3,3,2,2,5,3,4,4,5,1,4
s160,2,5,2,6,6,6,4,7,4,4,3
s174,5,2,4,5,5,5,6,5,7,2,6
s287,5,5,4,6,4,5,1,4,3,3,4
s164,2,6,1,6,3,4,4,5,5,5,3
s300,4,6,4,3,4,5,4,4,4,4,4
s217,3,5,3,3,2,4,5,4,2,3,4
s220,2,7,2,4,3,4,3,6,4,5,4
s322,1,4,4,5,3,6,3,5,3,5,4
s301,5,3,7,4,6,5,5,4,6,3,4
s214,3,5,3,4,6,6,5,4,3,4,4
s017,5,3,4,3,5,5,4,4,4,3,6
s152,5,6,2,5,4,6,4,4,5,6,3
s317,6,3,4,3,3,5,5,4,5,3,4
s068,3,6,3,7,2,5,4,4,4,4,1
s055,2,3,5,4,5,2,4,4,7,5,5
s112,4,6,5,4,6,4,4,5,4,2,4
s248,5,4,7,1,5,5,4,4,7,4,7
s116,5,5,5,2,4,2,4,2,6,4,4
s081,2,5,3,2,5,4,5,6,3,3,4
s312,1,2,5,5,6,4,5,2,7,1,4
s108,4,4,4,2,5,3,4,5,4,4,5
s257,7,2,7,3,6,3,7,4,7,1,6
s067,5,NA,4,3,4,5,4,6,2,5,4
s144,3,7,2,5,1,4,3,5,3,5,3
s210,6,4,5,4,4,4,5,3,6,5,4
s115,6,3,6,3,6,5,5,NA,7,5,5
s002,3,5,3,4,4,5,2,5,3,4,3
s189,4,7,NA,6,3,5,2,6,4,5,3
s030,3,4,5,4,5,5,4,5,4,5,3
s131,1,7,3,4,2,5,3,5,4,4,4
s315,3,4,4,4,3,5,5,5,5,4,2
s205,6,5,NA,7,3,7,2,5,4,5,5
s141,3,6,2,4,3,6,3,6,1,4,4
s016,5,6,1,6,5,4,3,6,5,7,4
s086,4,4,3,6,4,4,3,6,4,7,5
s011,6,3,5,4,5,4,5,4,6,4,5
s034,2,6,4,5,5,5,4,7,4,4,4
s245,5,5,5,3,6,3,6,5,7,3,7
s171,4,4,6,2,6,4,6,3,6,2,7
s135,3,5,5,3,7,6,6,4,6,3,NA
s019,7,4,4,4,7,6,4,5,4,4,3
s150,7,3,2,6,5,4,6,4,7,3,4
s238,4,3,5,5,5,6,5,2,6,4,3
s143,4,3,4,4,3,4,5,6,6,2,6
s279,6,3,7,3,7,3,5,2,7,4,5
s028,4,3,4,3,3,3,6,4,4,3,6
s154,4,4,5,3,4,4,3,2,6,4,4
s192,2,5,4,5,3,4,1,7,4,2,3
s001,2,7,2,6,1,7,1,7,6,4,4
s007,4,4,5,6,4,5,4,5,5,4,4
s042,3,5,3,4,5,5,3,4,4,5,4
s227,4,7,3,6,2,7,2,6,3,6,4
s176,6,4,7,2,6,4,5,1,7,4,6
s249,5,4,2,4,3,6,5,4,4,4,3
s246,4,2,5,1,4,4,5,1,6,4,6
s207,3,5,5,7,1,4,1,7,1,6,4
s031,5,3,4,7,4,4,2,6,4,4,3
s080,3,5,3,5,4,5,4,2,4,5,4
s096,4,4,7,2,5,2,6,4,5,5,5
s184,3,5,4,4,4,5,NA,4,2,6,4
s022,4,4,3,3,3,5,2,6,4,4,4
s166,2,5,2,6,3,7,2,7,4,5,4
s320,5,5,5,3,2,4,1,7,7,4,5
s079,5,3,5,3,4,2,7,2,4,2,7
s121,3,5,5,4,4,4,3,5,5,5,5
s198,4,5,4,6,3,4,2,2,5,5,6
s050,4,5,5,3,5,3,7,5,6,3,4
s077,4,7,4,5,5,5,4,4,5,7,5
s035,5,4,7,1,5,3,7,5,5,3,6
s168,3,6,3,4,3,7,3,4,3,5,3
s052,5,6,5,4,3,7,3,6,3,4,5
s066,3,5,3,4,4,4,3,3,4,3,3
s127,5,4,4,4,5,6,4,4,3,4,3
s324,4,4,6,4,6,5,5,6,5,2,6
s219,4,6,1,3,4,7,2,5,4,6,1
s045,5,3,4,3,5,4,4,3,5,3,4
s218,2,4,3,4,4,6,5,5,5,3,3
s284,5,6,2,6,4,7,1,7,4,5,3
s071,4,5,3,3,6,3,6,4,4,5,3
s072,3,6,5,4,5,7,5,4,6,3,6
s036,2,3,3,2,5,4,3,3,3,4,5
s098,1,4,4,4,4,4,4,6,1,3,4
s101,5,7,3,5,2,2,2,4,5,4,6
s293,3,5,5,5,3,7,3,5,3,5,3
s303,3,7,2,4,1,7,4,6,5,6,3
s309,6,6,4,3,3,4,4,4,5,2,4
s003,3,7,2,4,4,7,4,4,4,4,3
s157,5,5,4,3,6,5,4,6,5,3,3
s061,4,4,7,1,6,3,6,4,5,3,5
s224,1,2,4,4,5,3,6,6,5,3,5
s206,5,4,4,4,4,4,4,4,3,5,4
s021,4,6,5,6,5,6,5,7,5,4,5
s056,4,5,3,5,4,7,3,6,2,5,4
s065,6,2,5,4,7,1,7,1,6,1,6
s204,3,4,5,4,6,3,4,5,4,4,3
s049,4,4,5,4,7,4,7,5,4,4,3
s290,3,5,4,5,5,6,3,5,4,2,5
s179,4,7,5,4,4,2,5,3,4,5,4
s306,1,5,3,6,3,6,1,6,5,4,1
s018,3,4,6,5,5,3,7,1,6,4,5
s239,4,6,4,3,3,4,5,4,6,1,6
s132,4,1,7,4,6,4,7,3,6,3,7
s308,5,4,4,5,5,4,6,4,5,4,5
s032,6,4,NA,2,4,4,3,3,4,3,5
s149,4,4,4,2,6,2,5,3,7,3,7
s126,2,4,6,5,5,6,7,4,5,4,4
s292,4,5,5,4,4,5,5,5,6,3,4
s057,5,4,4,4,4,1,6,4,3,3,4
s254,3,7,5,3,4,4,3,4,4,7,3
s241,4,3,4,4,5,5,5,3,4,4,7
s313,3,7,2,7,4,4,1,6,4,1,3
s059,5,2,6,1,6,2,7,3,7,1,7
s167,3,1,4,4,4,4,6,4,6,3,6
s215,3,4,3,5,4,3,5,3,4,6,4
s137,4,4,5,3,5,4,4,3,6,2,6
s125,4,3,6,5,3,1,5,4,6,5,4
s242,4,4,4,7,3,6,4,6,4,4,4
s122,5,5,3,4,3,5,2,3,5,4,6
s294,6,4,5,3,5,3,2,3,7,3,3
s253,2,7,4,5,3,6,4,7,2,6,4
s170,7,5,3,4,5,5,1,4,5,6,6
s104,3,7,4,6,2,6,4,5,2,4,4
