subj_id,Fq1,Rq2,Fq3,Rq4,Fq5,Rq6,Fq7
s350,4,3,2,3,4,4,3
s209,4,4,5,2,4,5,5
s301,5,2,5,4,7,4,5
s128,4,4,5,2,2,6,5
s050,5,1,4,4,5,4,7
s024,5,3,4,1,4,4,3
s113,1,5,5,3,4,2,4
s019,6,3,6,3,5,4,3
s255,4,5,3,4,5,5,4
s029,3,5,4,4,4,7,1
s103,5,4,5,5,6,4,2
s139,4,4,4,4,6,3,5
s129,5,5,7,1,5,4,3
s090,5,3,4,3,5,3,4
s344,5,1,6,2,5,1,6
s342,4,3,2,5,3,4,3
s041,1,5,3,4,3,4,2
s292,4,1,4,3,4,3,4
s182,4,2,6,4,6,3,1
s230,2,4,7,5,6,4,3
s073,2,5,2,6,2,7,1
s220,4,4,5,3,2,3,2
s272,1,3,5,4,6,6,1
s126,7,1,4,1,7,3,6
s286,5,4,4,4,4,5,4
s135,7,2,5,4,5,2,6
s127,2,5,6,3,4,3,1
s063,1,3,3,4,1,5,1
s332,3,4,3,6,3,2,4
s080,3,5,3,5,5,5,3
s071,2,4,3,4,2,5,2
s345,5,3,3,4,4,5,3
s141,6,4,4,3,5,3,5
s032,5,1,4,4,5,4,4
s109,6,1,5,3,5,1,3
s183,3,6,3,4,3,6,3
s346,3,4,4,3,2,5,3
s162,4,1,4,3,4,4,3
s373,3,3,3,3,5,6,2
s317,5,4,5,3,5,4,5
s290,7,2,5,1,5,4,6
s306,5,3,2,4,5,2,2
s015,4,4,3,7,3,4,4
s330,6,2,7,2,7,1,3
s148,3,4,4,4,5,5,1
s100,2,6,3,5,2,6,3
s132,6,4,6,3,5,2,5
s225,2,5,2,4,4,7,4
s234,4,2,7,5,5,4,4
s033,2,4,2,3,1,7,1
s143,4,4,4,3,4,5,1
s375,NA,1,5,3,6,3,7
s196,5,5,1,5,5,5,2
s178,3,4,3,5,4,4,1
s153,5,3,4,3,5,3,4
s004,6,5,2,3,3,4,5
s065,4,5,4,3,3,4,3
s003,6,3,3,3,6,3,2
s055,4,2,5,1,5,4,1
s030,3,4,4,4,2,4,3
s384,2,3,3,5,4,5,5
s156,3,4,5,1,3,4,4
s299,4,3,4,2,4,4,2
s167,5,1,6,2,7,1,7
s251,2,4,3,3,4,2,3
s168,3,4,3,6,3,4,2
s166,3,4,3,4,4,3,4
s361,6,3,5,4,5,4,6
s303,6,4,5,5,NA,4,3
s338,3,2,3,4,2,6,2
s288,2,6,4,7,2,7,1
s172,5,3,4,3,3,3,3
s348,2,4,1,4,4,7,2
s222,5,1,5,1,7,5,5
s268,5,3,5,2,6,3,4
s001,4,4,6,2,5,3,4
s027,3,2,5,4,6,3,2
s077,4,1,7,1,5,4,4
s266,7,4,6,3,3,6,2
s327,5,6,5,5,5,3,4
s370,3,5,3,6,2,5,NA
s174,2,1,2,2,4,4,4
s205,3,4,3,4,NA,4,4
s058,3,3,5,4,3,6,1
s069,4,4,4,2,4,6,4
s057,5,2,5,2,3,5,3
s013,4,2,5,5,4,4,5
s314,5,5,4,3,2,3,2
s305,7,3,5,2,6,2,3
s088,3,2,2,3,3,3,2
s185,3,3,4,2,4,4,4
s122,4,1,6,1,4,3,3
s038,6,4,3,4,6,2,3
s263,6,3,3,2,2,6,1
s200,2,4,2,5,4,6,1
s096,5,5,5,5,5,2,3
s016,4,4,4,3,4,5,3
s151,4,4,3,4,3,7,2
s187,4,4,3,4,4,6,3
s186,7,4,6,3,5,2,6
s025,4,3,4,4,4,5,1
s022,3,4,6,1,7,4,6
s176,4,4,3,3,4,2,5
s214,3,2,5,3,2,3,5
s349,4,1,4,3,6,4,4
s249,4,4,4,4,5,3,2
s144,3,4,3,3,4,4,3
s328,4,2,3,4,4,5,1
s140,4,1,4,3,5,1,2
s237,5,1,6,2,5,2,3
s037,3,4,4,5,1,7,2
s341,3,3,1,3,3,4,5
s215,3,3,3,4,6,5,3
s313,4,3,7,2,5,4,5
s157,5,4,3,1,4,5,2
s061,3,5,5,4,3,3,2
s036,2,3,4,6,2,5,3
s321,4,4,5,1,6,5,5
s149,3,3,5,4,3,4,1
s308,1,3,4,4,2,5,1
s136,4,6,2,4,4,5,3
s087,2,5,3,3,3,3,3
s254,3,4,4,4,6,3,3
s351,3,5,5,3,4,2,3
s285,4,5,5,2,3,4,2
s309,6,5,NA,3,5,2,6
s324,5,4,5,4,5,4,2
s093,4,4,4,6,3,2,1
s360,2,4,5,2,3,4,4
s282,5,1,6,6,6,4,3
s250,4,4,4,5,3,5,4
s008,3,5,2,6,1,5,2
s291,6,1,5,1,5,4,4
s204,2,5,3,4,3,5,4
s260,4,6,4,5,4,4,1
s018,1,5,4,5,3,7,1
s322,7,2,6,1,6,2,5
s006,5,3,4,6,5,4,5
s068,4,2,5,4,4,4,3
s117,5,4,5,3,4,3,4
s021,6,3,4,3,5,4,3
s302,3,4,4,6,3,5,3
s165,4,1,6,3,5,2,4
s246,5,5,4,3,6,2,2
s364,7,3,4,4,5,6,5
s152,5,7,4,6,4,6,3
s226,3,5,2,4,3,4,3
